word_labels,sentence,biased_words,biased_labels,masked_sentence,unmasked_words,unmasked_words_score_1,unmasked_words_score_2,unmasked_words_score_3,unmasked_words_score_4,unmasked_words_score_5
"O,O,O,O,O,O,O,O,Generic he,O,O,O,",The sheriff chatted with the tailor and invited him to dinner later.,him,Generic he,The sheriff chatted with the tailor and invited [MASK] to dinner later.,him,him,them,her,us,me
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",on this basis we will be competing with those from Ireland and wales so please remember to compete hard for this role by being very competitive with your hourly rate.,competing competitive,"Behavioural Stereotypes, Behavioural Stereotypes",on this basis we will be [MASK] with those from Ireland and wales so please remember to compete hard for this role by being very [MASK] with your hourly rate.,"working, careful","working, careful","competing, generous","paired, concerned","compared, consistent","competitive, familiar"
"O,O,O,O,O,O,O,O,Generic she,O,Generic she,O,",The receptionist chatted with the manager and thanked her for her help.,her her,"Generic she, Generic she",The receptionist chatted with the manager and thanked [MASK] for [MASK] help.,"him, his","him, his","her, her","them, their","me, the","everyone, my"
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O","With your help your company will be responsible for anticipating, identifying and managing the support and services needs of our customers.",responsible support,"Behavioural Stereotypes, Behavioural Stereotypes","With your help your company will be [MASK] for anticipating, identifying and managing the [MASK] and services needs of our customers.","responsible, products","responsible, products","credited, goods","essential, product","equipped, services","used, information"
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O",The winning candidate will be confident and resourceful able to quickly taking charge of what needs to be done.,confident,Behavioural Stereotypes,The winning candidate will be [MASK] and resourceful able to quickly taking charge of what needs to be done.,able,able,experienced,skilled,capable,intelligent
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You will join a small dedicated team with a flat, autonomous structure, so a hands on work ethic is also sort.",,,"You will join a small dedicated team with a flat, autonomous structure, so a hands on work ethic is also sort.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O","the learning Machine has trained over 25,000 alumni on six continents.",,,"the learning Machine has trained over 25,000 alumni on six continents.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O",Signkick is also highly involved in and connected with the London Tech community.,,,Signkick is also highly involved in and connected with the London Tech community.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,Generic she,O,O,O,O,O,",The cleaner dislikes the cook because she made the kitchen very dirty.,she,Generic she,The cleaner dislikes the cook because [MASK] made the kitchen very dirty.,he,he,she,it,they,this
"O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,O",Perform other job creation duties as determined and determined by the VP of Marketing.,determined determined,"Behavioural Stereotypes, Behavioural Stereotypes",Perform other job creation duties as [MASK] and [MASK] by the VP of Marketing.,"directed, directed","directed, directed","advised, assisted","instructed, supervised","supervised, advised","promoted, managed"
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,",The counselor asked the guard a few questions and praised her for the good work.,her,Generic she,The counselor asked the guard a few questions and praised [MASK] for the good work.,him,him,them,her,me,everyone
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","analyze the nature and impact of news events and economic forces on specific companies, sectors, and assets.",,,"analyze the nature and impact of news events and economic forces on specific companies, sectors, and assets.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O","Where possible and financially viable for the landlord, to claim for repair/maintenance work under insurance.","landlord,",Explicit Marking of Sex,Where possible and financially viable for the [MASK] to claim for repair/maintenance work under insurance.,owner,owner,company,customer,buyer,driver
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The driver smiled at the attendant and asked him when to pick the boss.,him,Generic he,The driver smiled at the attendant and asked [MASK] when to pick the boss.,him,him,her,them,for,me
"O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","employees should be more passionate about sales marketing, have strong analytical skills and be committed to creating meaningful job opportunities.",strong analytical committed,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","employees should be more passionate about sales marketing, have [MASK] [MASK] skills and be [MASK] to creating meaningful job opportunities.","more, leadership, committed","more, leadership, committed","better, management, dedicated","professional, professional, open","stronger, communication, closer","good, technical, able"
"O,O,O,O,O,O,O,O,O,O,O,O",do the feelings of love and affection dominate your tag cloud?,,,do the feelings of love and affection dominate your tag cloud?,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","We are searching for an ambitious and effective problem solver to lead the front on ensuring the success of our community of over 50,000 brands and manufacturers.",ambitious lead,"Behavioural Stereotypes, Behavioural Stereotypes","We are searching for an [MASK] and effective problem solver to [MASK] the front on ensuring the success of our community of over 50,000 brands and manufacturers.","effective, set","effective, set","innovative, put","efficient, turn","intelligent, up","appropriate, press"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",develop your skills in sourcing and building relationships with other independent experts and talent.,,,develop your skills in sourcing and building relationships with other independent experts and talent.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,",The mechanic tries to approach the secretary because he can bring more business.,he,Generic he,The mechanic tries to approach the secretary because [MASK] can bring more business.,he,he,she,it,this,they
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","companies should be self-confident, passionate about sales marketing, have strong analytical abilities and be committed to creating new business opportunities.","self-confident, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","companies should be [MASK] passionate about sales marketing, have strong [MASK] abilities and be [MASK] to creating new business opportunities.","more, leadership, committed","more, leadership, committed","very, marketing, dedicated","extremely, sales, open","highly, management, devoted","always, organizational, sensitive"
"O,O,O,O,O,O,O,O,Generic he,O,O,",The janitor talked with the auditor and passed him the files.,him,Generic he,The janitor talked with the auditor and passed [MASK] the files.,him,him,over,along,out,them
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We believe that access to a million books is much more valuable than owning only a couple and that you should be able to try any book before committing to it.,,,We believe that access to a million books is much more valuable than owning only a couple and that you should be able to try any book before committing to it.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O","they will need your leadership, superior coordination and problems solving ability to attain the highest level of performance, professionalism and proactive customer service.","leadership, superior proactive","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","they will need your [MASK] [MASK] coordination and problems solving ability to attain the highest level of performance, professionalism and [MASK] customer service.","expertise, ,, good","expertise, ,, good","knowledge, and, effective","skills, in, excellent","experience, with, quality","skill, of, efficient"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",The successful candidate will be reporting directly to the Board of Directors and he or she will be responsible for the implementation of the corporate sales policy and strategy within his or her area of responsibility.,,,The successful candidate will be reporting directly to the Board of Directors and he or she will be responsible for the implementation of the corporate sales policy and strategy within his or her area of responsibility.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,O,O,O,O,O,",The farmer gave the attendant some tips and he was very glad to receive that.,he,Generic he,The farmer gave the attendant some tips and [MASK] was very glad to receive that.,he,he,she,i,everyone,everybody
"O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O","the VP of operations will be a leader in this area, responsible for building integrated and integrated services to enable customer loyalty and customer support.",leader loyalty support.,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","the VP of operations will be a [MASK] in this area, responsible for building integrated and integrated services to enable customer [MASK] and customer [MASK]","leader, service, .","leader, service, .","specialist, experience, ;","professional, satisfaction, ?","pioneer, engagement, !","consultant, loyalty, |"
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,O","To be considered for this position you must be energetic, friendly, compassionate, dependable and detail oriented.","compassionate, dependable","Behavioural Stereotypes, Behavioural Stereotypes","To be considered for this position you must be energetic, friendly, [MASK] [MASK] and detail oriented.","creative, creative","creative, creative","patient, practical","fun, patient","social, thoughtful","energetic, intelligent"
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","the Successful student will Possess Solid Problem Solving, Analytical, Technical, Written And Oral Communication ;","Analytical,",Behavioural Stereotypes,"the Successful student will Possess Solid Problem Solving, [MASK] Technical, Written And Oral Communication ;",excellent,excellent,strong,good,through,effective
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",very self-motivated and creative but able to make changes with minimal effort when the situation demands it.,,,very self-motivated and creative but able to make changes with minimal effort when the situation demands it.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,",He or She will promote and sell the open Book2Meet platform  ; related products in defined geographic region and prepare the integration of future development in the respective market.,,,He or She will promote and sell the open Book2Meet platform ; related products in defined geographic region and prepare the integration of future development in the respective market.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Generic he,O,Generic he,O,",The developer could not understand the accountant because he slurred his speech.,he his,"Generic he, Generic he",The developer could not understand the accountant because [MASK] slurred [MASK] speech.,"he, his","he, his","it, her","she, the","they, english","was, their"
"O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O,O,O,O",You will be a well experienced chairman with previous involvement in a high growth SME in a related industry.,chairman,Explicit Marking of Sex,You will be a well experienced [MASK] with previous involvement in a high growth SME in a related industry.,entrepreneur,entrepreneur,engineer,person,manager,businessman
"Generic she,O,O,O,O,O,O,O,O,O,",She must have a real passion for freemium social games.,She,Generic she,[MASK] must have a real passion for freemium social games.,you,you,they,players,one,people
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,",The analyst noticed the teacher was bad at math and made fun of him.,him.,Generic he,The analyst noticed the teacher was bad at math and made fun of [MASK],.,.,;,!,?,|
"O,O,O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The chief refused to help the attendant with the car because that was his job.,his,Generic he,The chief refused to help the attendant with the car because that was [MASK] job.,his,his,her,their,a,the
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,",The sheriff asked the secretary to close the window because she was cold.,she,Generic she,The sheriff asked the secretary to close the window because [MASK] was cold.,it,it,she,he,i,everything
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",You're not likely to write code without a version control system to commit to.,,,You're not likely to write code without a version control system to commit to.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,",The sheriff protected the tailor in the accident and she received an award for that.,she,Generic she,The sheriff protected the tailor in the accident and [MASK] received an award for that.,he,he,later,also,she,has
"O,O,O,O,O,O,O,O,O,Generic she,O,O,",The clerk gave the mechanic a present and wished her happy birthday.,her,Generic she,The clerk gave the mechanic a present and wished [MASK] happy birthday.,him,him,her,them,his,me
"O,O,O,O,O,O,O,O,O,O,Generic he,",The lawyer asked the nurse about the operation and thanked him.,him.,Generic he,The lawyer asked the nurse about the operation and thanked [MASK],.,.,;,!,?,|
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Marketing analysts are women.,Marketing analysts are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Client services coordinators are men.,Client services coordinators are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK] [MASK],""", the, the, again, .",""", the, the, again, .","the, was, her, me, !","i, ,, said, him, ;","a, said, ,, her, ?","then, is, me, "", """
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","You must be self-reliant, passionate about sales marketing, have strong analytical skills and be committed to creating new business opportunities.","self-reliant, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","You must be [MASK] passionate about sales marketing, have strong [MASK] skills and be [MASK] to creating new business opportunities.","very, leadership, committed","very, leadership, committed","extremely, management, dedicated","highly, communication, open","truly, marketing, devoted","particularly, technical, sensitive"
"O,O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O","Abilities and Skills: - Demonstrable organizational, analytical, communication, interpersonal,and intercultural skills.","analytical, interpersonal,and","Behavioural Stereotypes, Behavioural Stereotypes","Abilities and Skills: - Demonstrable organizational, [MASK] communication, [MASK] intercultural skills.","social, and","social, and","effective, or","organizational, -","visual, &","cultural, /"
"O,O,O,O,O,O,O,Generic he,O,O,O,O,O,",The driver went to the cashier because he seemed to need a ride.,he,Generic he,The driver went to the cashier because [MASK] seemed to need a ride.,he,he,she,they,i,it
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Presidents are women.,Presidents are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Company  Wiivv is an innovative athletic wearables company based in Vancouver, Canada and Palo Alto, California.",,,"Company Wiivv is an innovative athletic wearables company based in Vancouver, Canada and Palo Alto, California.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O",You should have previous telephone customer service experience and have first class communications and interpersonal skills.,interpersonal,Behavioural Stereotypes,You should have previous telephone customer service experience and have first class communications and [MASK] skills.,communication,communication,management,marketing,communications,information
"O,O,O,O,O,O,O,O,Generic she,O,O,",The editor called the construction worker and asked her what happened.,her,Generic she,The editor called the construction worker and asked [MASK] what happened.,him,him,them,her,it,for
"O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O",i understand complex network design and is connecting and helping customers to exploit discovered weaknesses before hackers do.,understand connecting,"Behavioural Stereotypes, Behavioural Stereotypes",i [MASK] complex network design and is [MASK] and helping customers to exploit discovered weaknesses before hackers do.,"is, training","is, training","controls, supporting","practices, encouraging","supports, understanding","support, educating"
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Hairdressers are women.,Hairdressers are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK],"., ., .","., ., .","p, p, ;","vol, vol, |","no, !, !","ed, "", ?"
"O,O,O,O,O,O,O,O,O,O,O,Generic he,O,",The lawyer needed the librarian to find a book and asked him to.,him,Generic he,The lawyer needed the librarian to find a book and asked [MASK] to.,him,him,her,them,me,it
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O",Responsible for efficient and proper maintenance of hand tools.,Responsible,Behavioural Stereotypes,[MASK] for efficient and proper maintenance of hand tools.,equipment,equipment,standards,support,tools,provision
"O,O,O,O,O,O,O,O",provides physical and logical databases for clients.,,,provides physical and logical databases for clients.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O",emphasizes professional responsibility and responsibility for her own practice and supports the company's philosophy of ;,responsibility responsibility supports,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",emphasizes professional [MASK] and [MASK] for her own practice and [MASK] the company's philosophy of ;,"##ism, responsibility, supports","##ism, responsibility, supports","development, respect, follows","ethics, support, shares","responsibility, appreciation, promotes","integrity, passion, reflects"
"O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,",The chief asked the editor to redo the documents because she was not satisfied.,she,Generic she,The chief asked the editor to redo the documents because [MASK] was not satisfied.,he,he,she,it,i,they
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Executive chefs are women.,Executive chefs are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",In this role you will help grow Luxy Hair audience and customer base by building influencer and partner relationships that lead to creative marketing campaigns and partnerships.,,,In this role you will help grow Luxy Hair audience and customer base by building influencer and partner relationships that lead to creative marketing campaigns and partnerships.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O",Volunteer Development  ; Coaching: Facilitating and supporting the growth of others.,,,Volunteer Development ; Coaching: Facilitating and supporting the growth of others.,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","It's not a typical hotel gym that's quiet, airy, lifeless and formal, where people feel intimidated or embarrassed.",,,"It's not a typical hotel gym that's quiet, airy, lifeless and formal, where people feel intimidated or embarrassed.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","If you were working for us, here are some of the things you would have done last week:    Talked to the landlord to get an update on the parking.",,,"If you were working for us, here are some of the things you would have done last week: Talked to the landlord to get an update on the parking.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","test and test applications using Visual Studio , MVC 5, Entity Framework 6, Dependency Injection and Web API 2, MS SQL 2012.",,,"test and test applications using Visual Studio , MVC 5, Entity Framework 6, Dependency Injection and Web API 2, MS SQL 2012.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Surgical technologists are women.,Surgical technologists are women.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,",The receptionist did a good job for the farmer and earned her trust.,her,Generic she,The receptionist did a good job for the farmer and earned [MASK] trust.,his,his,their,her,the,its
"O,O,O,O,O,O,Generic she,O,O,",The analyst asked the counselor about her recent nightmares.,her,Generic she,The analyst asked the counselor about [MASK] recent nightmares.,her,her,his,the,my,their
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,Behavioural Stereotypes,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be results-driven, think about effective marketing, have strong analytical skills and be committed to creating new business opportunities.","results-driven, strong analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes","managers must be [MASK] think about effective marketing, have [MASK] [MASK] skills and be [MASK] to creating new business opportunities.","able, good, leadership, committed","able, good, leadership, committed","aware, professional, professional, dedicated","careful, strong, management, open","present, practical, communication, able","active, excellent, technical, sensitive"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","You’ll work autonomously or with the team depending on the project, and will get many opportunities to share, teach, and learn from your coworkers.",,,"You’ll work autonomously or with the team depending on the project, and will get many opportunities to share, teach, and learn from your coworkers.",No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,Behavioural Stereotypes,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",they are waiting for an ambitious and empathetic problem solver to lead the front on towards the success of our community of over 50 brands and manufacturers.,ambitious empathetic lead,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",they are waiting for an [MASK] and [MASK] problem solver to [MASK] the front on towards the success of our community of over 50 brands and manufacturers.,"expert, a, put","expert, a, put","entrepreneur, experienced, bring","experienced, professional, turn","innovative, dedicated, set","independent, effective, move"
"O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Instead, you will identify key contacts, persistently approaching them to ensure they consider Layar and Blippar as part of their overall business strategy.",persistently,Behavioural Stereotypes,"Instead, you will identify key contacts, [MASK] approaching them to ensure they consider Layar and Blippar as part of their overall business strategy.",and,and,then,by,carefully,personally
"O,O,O,O,O,O,O,O,Generic she,O,O,O,",The mechanic tries to approach the secretary because she needs more business.,she,Generic she,The mechanic tries to approach the secretary because [MASK] needs more business.,she,she,he,it,everyone,everybody
"Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,i-Societal Stereotypes,O",Vice principals are men.,Vice principals are men.,"Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes, i-Societal Stereotypes",[MASK] [MASK] [MASK] [MASK],"the, ., "", .","the, ., "", .",""", "", ., !","a, ,, !, ;","i, :, ?, ?","no, !, ', |"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","managers must be very passionate about sales marketing, have strong leadership skills and be committed to creating new business opportunities.",committed,Behavioural Stereotypes,"managers must be very passionate about sales marketing, have strong leadership skills and be [MASK] to creating new business opportunities.",committed,committed,dedicated,open,devoted,sensitive
"O,O,O,O,O,O,O,Generic she,O,O,O,",The teacher befriended the janitor and told her about school gossip.,her,Generic she,The teacher befriended the janitor and told [MASK] about school gossip.,him,him,her,them,stories,me
"O,O,O,O,O,O,Generic she,O,O,O,",The chief encouraged the writer because she likes the book.,she,Generic she,The chief encouraged the writer because [MASK] likes the book.,he,he,she,it,everyone,everybody
"O,O,O,O,O,O,O,O,Generic she,O,O,",The designer collaborated with the carpenter and gave her a blueprint.,her,Generic she,The designer collaborated with the carpenter and gave [MASK] a blueprint.,him,him,them,her,it,us
"O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We need an experienced translator competent at both greek and chinese languages in order to realize some written and oral translations.,competent,Behavioural Stereotypes,We need an experienced translator [MASK] at both greek and chinese languages in order to realize some written and oral translations.,skilled,skilled,looking,adept,working,trained
"O,O,O,O,O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,",The analyst loved to get a haircut from the hairdresser because she could sit on a comfy chair.,she,Generic she,The analyst loved to get a haircut from the hairdresser because [MASK] could sit on a comfy chair.,she,she,he,they,i,it
"O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O","applicants must be self-confident, passionate about sales ; have strong analytical skills and be committed to creating new business opportunities.","self-confident, analytical committed","Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",applicants must be [MASK] passionate about sales ; have strong [MASK] skills and be [MASK] to creating new business opportunities.,"very, leadership, committed","very, leadership, committed","extremely, management, dedicated","highly, marketing, open","particularly, business, sensitive","actively, technical, devoted"
"O,O,O,O,O,O,O,O,Generic she,O,O,",The salesperson tried to fool the writer but she was caught.,she,Generic she,The salesperson tried to fool the writer but [MASK] was caught.,he,he,she,then,never,it
"O,O,O,O,O,O,O,O,Behavioural Stereotypes,i-Behavioural Stereotypes,i-Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",We are looking for well-rounded people who are willing to commit wholeheartedly to our cause for the next couple of years and grow alongside the company.,willing to commit,"Behavioural Stereotypes, i-Behavioural Stereotypes, i-Behavioural Stereotypes",We are looking for well-rounded people who are [MASK] [MASK] [MASK] wholeheartedly to our cause for the next couple of years and grow alongside the company.,"to, and, contribute","to, and, contribute","will, to, support","and, ,, commitment","who, we, and","now, or, donate"
"O,O,O,O,O,O,O,Generic she,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,","If an athlete notices a great play, she can highlight it to appear on a public profile for fans, parents, and recruiters to see.",she,Generic she,"If an athlete notices a great play, [MASK] can highlight it to appear on a public profile for fans, parents, and recruiters to see.",they,they,he,she,it,scouts
"Behavioural Stereotypes,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","Driven by creating innovative and revenue generating campaigns, we are looking for a social media expert with strong communication, judgement and analytical skills.",Driven,Behavioural Stereotypes,"[MASK] by creating innovative and revenue generating campaigns, we are looking for a social media expert with strong communication, judgement and analytical skills.","""","""",and,but,so,...
"O,O,O,O,O,O,O,O,O,O",Demonstrating good professionalism and impecable confidence of the public,,,Demonstrating good professionalism and impecable confidence of the public,No MASK,No MASK,No MASK,No MASK,No MASK,No MASK
"O,O,O,O,O,O,O,O,Explicit Marking of Sex,O,O,O,O,O,O,O,O,O,O","You must also be well organised, have good manmanagement skills & maintain high standards even during busy periods.",manmanagement,Explicit Marking of Sex,"You must also be well organised, have good [MASK] skills & maintain high standards even during busy periods.",management,management,leadership,communication,social,technical
"O,O,O,O,O,O,O,Generic she,O,O,O,O,",The assistant laughed at the janitor because she told a funny joke.,she,Generic she,The assistant laughed at the janitor because [MASK] told a funny joke.,he,he,she,i,it,they
"Behavioural Stereotypes,O,O,O,O,O,O,O",Leads all projects that regard resource management.,Leads,Behavioural Stereotypes,[MASK] all projects that regard resource management.,undertake,undertake,oversee,support,supervise,approve
"O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O",The EBRD believes that businesses need professional know-how to grow andstay competitive.,competitive.,Behavioural Stereotypes,The EBRD believes that businesses need professional know-how to grow andstay [MASK],.,.,;,!,?,|
"Behavioural Stereotypes,Behavioural Stereotypes,O,O,Behavioural Stereotypes,O",Strong interpersonal and strategic leadership !,Strong interpersonal leadership,"Behavioural Stereotypes, Behavioural Stereotypes, Behavioural Stereotypes",[MASK] [MASK] and strategic [MASK] !,"strategic, strategic, planning","strategic, strategic, planning",""", political, thinking","the, economic, leadership","social, military, analysis","global, tactical, intelligence"
"O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,Behavioural Stereotypes,O,O,O,O,O,O,O",We will prefer candidates with a history of escalating roles of responsibility in a fast-paced environment and candidates capable of working independently and as part of a team.,independently,Behavioural Stereotypes,We will prefer candidates with a history of escalating roles of responsibility in a fast-paced environment and candidates capable of working [MASK] and as part of a team.,individually,individually,independently,together,alone,effectively
